manufacturer_id,manufacturer_name
9092,"HYBRIDYNE IMAGING TECHNOLOGIES, INC"
9140,SAULT AREA HOSPITAL
7570,SWEDISH ORPHAN BIOVITRUM AB (PUBL)
8404,DR MICHEL PRUDHOMME
9183,DR MICHAEL DOMANSKI
9206,ADVAXIS IMMUNOTHERAPIES
10010,UNIVERSITY OF CALGARY - ALBERTA CHILDRENS HOSPITAL
10026,KARTOS THERAPEUTICS INC
10044,DR. STEEVE PROVENCHER
9249,ONCOBIOLOGICS INC
9250,DR VINCENT CHAN
11670,INVENTVACC BIOLOGICS INC.
11590,ANJI PHARMA (US) LLC
11205,"VASOMUNE THERAPEUTICS, INC."
11706,PSILO SCIENTIFIC LTD.
11710,INVERSAGO PHARMA INC
12453,"SURROZEN OPERATING, INC."
12373,"NKGEN BIOTECH, INC."
13004,NEOMORPH INC.
