"protocol_id","submission_no","brand_id","manufacturer_id","manufacturer_name","brand_name"
41563,191897,175538,7874,GREEN CROSS CORPORATION,GC5107
41566,191858,175493,9138,ESPERAS PHARMA INC,LY2880070/ GEMCITABINE
41579,191942,175583,8859,ULTRAGENYX PHARMACEUTICAL INC,"ACENEURAMIC ACID (SIALIC ACID, UX001)"
41582,191952,175593,32,BOEHRINGER INGELHEIM (CANADA) LTD LTEE,BI 655066
41594,191999,175641,7628,MERCK CANADA INC,KEYTRUDA / CAPECITABINE / GEMCITABINE
41596,192001,175645,6837,H. LUNDBECK A/S,LU AF35700
41597,192004,175648,7492,QUARK PHARMACEUTICALS INC,QPI-1002
41602,192010,175654,9145,CORVUS PHARMACEUTICALS INC,CIFORADENANT (CPI-444) / ATEZOLIZUMAB
41604,192020,175664,9148,"HALOZYME, INC",PEGPH20
41607,192036,175682,7272,ASTELLAS PHARMA GLOBAL DEVELOPMENT INC,ENZALUTAMIDE
41608,192037,175683,3545,LONDON HEALTH SCIENCES CENTRE,FRAGMIN (DALTEPARIN SODIUM)
41611,192046,175690,8806,ADURO BIOTECH INC,CRS-207 / EPACADOSTAT (INCB024360)
41615,192058,175709,4361,UNIVERSITY HEALTH NETWORK,SOMATOSTATIN/ INSULIN/ HUMATROPE/ GLUCAGON
41618,192063,175715,4543,CHILDRENS ONCOLOGY GROUP,DINUTUXIMAB (CH14.18) / LEUKINE
41621,192070,175721,647,UNIVERSITY OF SASKATCHEWAN,LIDOCAINE/ DEXMEDETOMIDINE
41623,192078,175730,9151,ZOGENIX INTERNATIONAL LIMITED,FENFLURAMINE (ZX008)
41624,192081,175733,9152,AKEBIA THERAPEUTICS INC,VADADUSTAT (AKB-6548)
41625,192084,175736,9152,AKEBIA THERAPEUTICS INC,VADADUSTAT (AKB-6548)
41626,192086,175738,6987,HAMILTON HEALTH SCIENCES CORPORATION,RAMIPRIL / PERINDOPRIL / SIMVASTATIN / ATORVASTATIN / ROSUVASTATIN
41627,192088,175740,4848,BRISTOL-MYERS SQUIBB CANADA,BMS-986142
41628,192101,175754,9758,IPSEN BIOSCIENCE INC,IRINOTECAN (MM-398)/ LEUCOVORIN/ FLUOROURACIL/ OXALIPLATIN/ GEMCITABINE
41630,192109,175760,7505,IPSEN INNOVATION,DYSPORT (CLOSTRIDIUM BOTULINUM TOXIN TYPE A HAEMAGGLUTININ COMPLEX)
41632,192113,175765,7654,CELGENE INC,LUSPATERCEPT (ACE-536)
41639,192179,175829,4877,EISAI INC,LENVATINIB (E7080)
41642,192182,175830,4091,GLAXOSMITHKLINE INC,HERPES ZOSTER SUBUNIT VACCINE (GSK1437173A)
41643,192180,175827,8144,ABBVIE CORPORATION,UPADACITINIB (ABT-494)
41647,192204,175853,8630,AERIE PHARMACEUTICALS INC,PG324/ AR-13324
41651,192238,175885,7492,QUARK PHARMACEUTICALS INC,QPI-1002
41656,192252,175899,8144,ABBVIE CORPORATION,ABT-493-ABT-530
41658,192255,175903,7628,MERCK CANADA INC,KEYTRUDA
41670,192287,175936,3601,ASTRAZENECA CANADA INC,MEDI-563 (BENRALIZUMAB)
41675,192298,175947,9155,DR. THOMAS WARKUS,PACLITAXEL/ CARBOPLATIN
41678,192305,175954,6763,GILEAD SCIENCES CANADA INC,ENTOSPLETINIB (GS-9973)
41679,192306,175955,8920,BAXALTA US INC,BAX 855
41688,192319,175967,488,ELI LILLY CANADA INC,ABEMACICLIB (LY2835219)/ TRASTUZUMAB
41699,192362,176012,9159,UNIVERSITY OF LIVERPOOL,CEFTAZIDIME/ TOBRAMYCIN/ CIPROFLOXACIN/ COLISTIN
41704,192383,176033,6317,CHU SAINTE JUSTINE,VALACYCLOVIR
41707,192393,176043,6763,GILEAD SCIENCES CANADA INC,GS-5745
41709,192425,176082,2932,NOVARTIS PHARMACEUTICALS CANADA INC,"TAFINLAR (DABRAFENIB, DRB436)/ TRAMETINIB"
41720,192459,176118,158,AMGEN CANADA INC,AMG 820 / KEYTRUDA
41721,192458,176117,9126,"CANADIAN CANCER TRIALS GROUP, CANCER RESEARCH INSTITUTE, QUEEN'S UNIVERSITY",PROCARBAZINE/ TEMOZOLOMIDE/ VINCRISTINE
41725,192464,176123,9164,DR. ERIC S. TAM,BRIMONIDINE
41729,192473,176132,8132,TESARO INC,NIRAPARIB (MK-4827)
41732,192493,176152,2932,NOVARTIS PHARMACEUTICALS CANADA INC,CAPMATINIB (INC280)/ PDR001
41741,192517,176174,4091,GLAXOSMITHKLINE INC,GSK1278863
41744,192523,176181,8284,ABBVIE BIOTHERAPEUTICS INC,ABBV-838 / POMALIDOMIDE / BORTEZOMIB / LENALIDOMIDE / DEXAMETHASONE
41747,192529,176186,4543,CHILDRENS ONCOLOGY GROUP,CDX-011 (GLEMBATUMUMAB VEDOTIN)
41749,192539,176196,1288,VERTEX PHARMACEUTICALS INC,VX-210 / TISSEEL
41754,192584,176240,4091,GLAXOSMITHKLINE INC,FLUTICASONE-VILANTEROL
41757,192597,176253,4091,GLAXOSMITHKLINE INC,UMECLINIDIUM-FLUTICASONE-VILANTEROL
41774,192671,176338,1334,THE HOSPITAL FOR SICK CHILDREN,BRIMONIDINE
41778,192675,176342,9806,TILRAY CANADA LTD,CANNABIS
41786,192700,176371,117,PFIZER CANADA INC,PF-05230907
41790,192717,176393,9176,THROMBOGENICS NV,JETREA
41794,192709,176383,2932,NOVARTIS PHARMACEUTICALS CANADA INC,"JAKAVI (INC424, RUXOLITINIB)"
41796,192729,176405,1954,BAYER INC,"EYLEA (AFLIBERCEPT, BAY 86-5321)"
41800,192746,176424,7478,WINNIPEG REGIONAL HEALTH AUTHORITY,SODIUM PERTECHNETATE TC-99M
41804,192804,176483,9178,"ONCONOVA THERAPEUTICS, INC",RIGOSERTIB
41809,192830,176509,9126,"CANADIAN CANCER TRIALS GROUP, CANCER RESEARCH INSTITUTE, QUEEN'S UNIVERSITY",CX-5461
41818,192847,176534,32,BOEHRINGER INGELHEIM (CANADA) LTD LTEE,BI 655064
41822,192846,176533,7272,ASTELLAS PHARMA GLOBAL DEVELOPMENT INC,ENZALUTAMIDE (MDV3100)
41823,192865,176552,9736,AKCEA THERAPEUTICS INC,VOLANESORSEN (ISIS 304801)
41825,192887,176574,4848,BRISTOL-MYERS SQUIBB CANADA,ENASIDENIB (AG-221)/ AZACITIDINE
41827,192904,176590,981,NOVO NORDISK CANADA INC,ORAL SEMAGLUTIDE (NN9924)
41840,192933,176621,117,PFIZER CANADA INC,MSB0010718C (AVELUMAB)
41862,192982,176679,8144,ABBVIE CORPORATION,VENETOCLAX (ABT-199)
41863,192986,176683,568,HOSPITAL FOR SICK CHILDREN,LIDOCAINE
41870,193000,176697,1334,THE HOSPITAL FOR SICK CHILDREN,LOSARTAN
41872,193012,176708,5116,ALKERMES INC,ALKS 8700
41874,193086,176783,488,ELI LILLY CANADA INC,LY2439821 (IXEKIZUMAB)
41877,193094,176790,9190,COCRYSTAL PHARMA INC,CDI-31244
41880,193092,176794,9189,IMMUNOCELLULAR THERAPEUTICS LTD,ICT-107
41882,193106,176803,6559,OTSUKA PHARMACEUTICAL DEVELOPMENT & COMMERCIALIZATION INC,"SAMSCA (TOLVAPTAN, OPC-41061)"
41884,193125,176826,117,PFIZER CANADA INC,ABROCITINIB (PF-04965842)
41885,193127,176828,5148,DYAX CORP,DX-2930 (LANADELUMAB)
41890,193137,176839,5552,LAWSON HEALTH RESEARCH INSTITUTE,"18F FEPPA"
41900,193107,176805,6206,DAIICHI SANKYO INC,QUIZARTINIB (AC220)
41902,193172,176874,9192,ADVANCED ACCELERATOR APPLICATIONS INTERNATIONAL SA,KIT FOR THE PREPARATION OF 99MTC-RHANNEXIN V-128
41903,193173,176875,9192,ADVANCED ACCELERATOR APPLICATIONS INTERNATIONAL SA,KIT FOR THE PREPARATION OF 99MTC-RHANNEXIN V-128
41909,193196,176900,8144,ABBVIE CORPORATION,UPADACITINIB (ABT-494)
41911,193205,176911,4091,GLAXOSMITHKLINE INC,HERPES ZOSTER SUBUNIT VACCINE (HZ/SU) (GSK1437173A)
41914,193214,176922,4848,BRISTOL-MYERS SQUIBB CANADA,OPDIVO/ SPRYCEL/ BMS-986016 / FLUDEOXYGLUCOSE 18F / FLUGUCOSCAN / GLUCOVISION
41923,193241,176949,2932,NOVARTIS PHARMACEUTICALS CANADA INC,AIN457 (SECUKINUMAB)
41924,193249,176960,9126,"CANADIAN CANCER TRIALS GROUP, CANCER RESEARCH INSTITUTE, QUEEN'S UNIVERSITY",KEYTRUDA
41926,193257,176968,981,NOVO NORDISK CANADA INC,NN1218 (FASTER-ACTING INSULIN ASPART)
41927,193261,176972,5552,LAWSON HEALTH RESEARCH INSTITUTE,XEOMIN (INCOBOTULINUMTOXINA)
41929,193260,176971,5239,"ESPERION THERAPEUTICS, INC",ETC-1002 (BEMPEDOIC ACID)
41939,193333,177044,1288,VERTEX PHARMACEUTICALS INC,IVACAFTOR (VX-770)
41941,193343,177055,7679,SUNNYBROOK RESEARCH INSTITUTE,HYPERPOLARIZED PYRUVATE (13C)
41944,193350,177063,9202,DR. LAKSHMI YATHAM,LURASIDONE
41950,193377,177090,9203,"SPRING BANK PHARMACEUTICALS, INC",INARIGIVIR (SB 9200)/ TENOFOVIR
41959,193409,177121,9025,"THERACOS SUB, LLC",BEXAGLIFLOZIN
41960,193405,177118,9205,UNIQURE BIOPHARMA B.V.,GLYBERA
41964,193439,177152,7628,MERCK CANADA INC,MK-8628
41967,193443,177156,3936,MILLENNIUM PHARMACEUTICALS INC,SAPANISERTIB (MLN0128)/ SERABELISIB (MLN1117)/ PACLITAXEL
41968,193459,177178,2932,NOVARTIS PHARMACEUTICALS CANADA INC,TRAMETINIB (TMT212)/ RIBOCICLIB (LEE011)
41973,193442,177155,3936,MILLENNIUM PHARMACEUTICALS INC,SERABELISIB (MLN1117)/ SAPANISERTIB (MLN0128)/ EVEROLIMUS
41979,193495,177215,68,GALDERMA CANADA INC,IVERMECTIN (CD5024)
41981,193499,177219,981,NOVO NORDISK CANADA INC,"NN9068 (INSULIN DEGLUDEC, LIRAGLUTIDE)"
41986,193512,177232,9207,GEMPHIRE THERAPEUTICS INC,GEMCABENE
41989,193520,177241,7940,DOUGLAS MENTAL HEALTH UNIVERSITY INSTITUTE,PROBUCOL
41990,193530,177252,4794,GOVERNORS OF THE UNIVERSITY OF ALBERTA,KETAMINE / LIDOCAINE
41993,193570,177292,8144,ABBVIE CORPORATION,VENETOCLAX (ABT-199)
41995,193569,177291,9210,PAION UK LIMITED,REMIMAZOLAM
41999,193621,177341,818,UNIVERSITY OF BRITISH COLUMBIA,HUMAN BIOTHERAPY (HBT)
42000,193628,177348,7272,ASTELLAS PHARMA GLOBAL DEVELOPMENT INC,MYRBETRIQ (MIRABEGRON)
42007,193639,177360,8074,RESEARCH INSTITUTE OF THE MCGILL UNIVERSITY HEALTH CENTRE,AMINO ACIDS
42008,193641,177362,7610,C17,VINCRISTINE/ MITOXANTRONE/ PEG-ASPARGINASE
42009,193594,177314,9213,BIOREST LTD,ALENDRONATE
42011,193665,177386,2932,NOVARTIS PHARMACEUTICALS CANADA INC,COSENTYX
42015,193677,177399,3601,ASTRAZENECA CANADA INC,ONGLYZA (SAXAGLIPTIN)/ FORXIGA (DAPAGLIFLOZIN)
42021,193686,177408,7617,CLOVIS ONCOLOGY INC,ROCILETINIB (CO-1686)
42024,193694,177416,4848,BRISTOL-MYERS SQUIBB CANADA,OPDIVO / ELOTUZUMAB
42026,193696,177418,9091,AXOVANT SCIENCES LTD,RVT-101
42029,193704,177426,4361,UNIVERSITY HEALTH NETWORK,CD34+ CELLS EXPRESSING ALPHA-GALACTOSIDASE A
42033,193711,177433,4758,BAXTER HEALTHCARE CORPORATION,PRISMOCITRATE 18
42037,193721,177442,4848,BRISTOL-MYERS SQUIBB CANADA,OPDIVO
42041,193725,177446,9166,CLEAVE BIOSCIENCES,CB-5083
42047,193739,177460,4091,GLAXOSMITHKLINE INC,GSK3359609
42050,193748,177469,4666,MERCK KGAA,EMD 525797 (DI-17E6)
42053,193766,177488,4361,UNIVERSITY HEALTH NETWORK,NITRIC OXIDE
42055,193769,177491,158,AMGEN CANADA INC,REPATHA
42058,193774,177498,6048,SANOFI-AVENTIS CANADA INC,INSULIN GLARGINE
42063,193784,177506,2932,NOVARTIS PHARMACEUTICALS CANADA INC,COSENTYX
42064,193789,177511,8381,TAKEDA DEVELOPMENT CENTER AMERICAS INC,ENTYVIO
42067,193795,177519,9215,"AEGLEA BIOTHERAPEUTICS, INC",AEB1102 (CO-ARGI-PEG)
42069,193791,177515,7628,MERCK CANADA INC,"JANUVIA (SITAGLIPTIN, MK-0431)"
42070,193816,177539,9219,"EIGER BIOPHARMACEUTICALS, INC",UBENIMEX
42073,193826,177549,8105,DR. SARAH A MORROW,AMPHETAMINE-DEXTROAMPHETAMINE
42074,193828,177550,4361,UNIVERSITY HEALTH NETWORK,GA-68 DOTATATE / LU-177 DOTATATE
42075,193829,177551,8859,ULTRAGENYX PHARMACEUTICAL INC,ACENEURAMIC ACID (UX001)
42079,193841,177563,6412,SPECTRUM PHARMACEUTICALS INC,EOQUIN (APAZIQUONE)
42081,193847,177568,6837,H. LUNDBECK A/S,VORTIOXETINE (LU AA21004)/ FLUOXETINE
42082,193849,177571,7009,AMAG PHARMACEUTICALS INC,FERUMOXYTOL/ FERRIC CARBOXYMALTOSE
42083,193853,177575,9045,ALEXION PHARMA GMBH,ALXN1101
42084,193848,177570,6837,H. LUNDBECK A/S,VORTIOXETINE (LU AA21004)/ FLUOXETINE
42088,193878,177600,6763,GILEAD SCIENCES CANADA INC,ENTOSPLETINIB (GS-9973)
42089,193867,177589,8920,BAXALTA US INC,GLASSIA / ARALAST NP
42103,193911,177633,8234,PRINCESS MARGARET CANCER CENTRE,VIDAZA / DURVALUMAB
42104,193912,177635,488,ELI LILLY CANADA INC,LY2439821
42105,193909,177631,7272,ASTELLAS PHARMA GLOBAL DEVELOPMENT INC,GILTERITINIB (ASP2215)
42108,193934,177660,7954,THUNDER BAY REGIONAL RESEARCH INSTITUTE,LEUPROLIDE
42109,193933,177661,2008,ST MICHAELS HOSPITAL,EMPAGLIFLOZIN
42113,193958,177684,9226,NIGHTSTARX LTD,AAV2-REP1 (RECOMBINANT)
42120,193976,177704,7628,MERCK CANADA INC,MK-8628
42124,193990,177718,4361,UNIVERSITY HEALTH NETWORK,CFI-402257
42126,193993,177721,7961,PRINCESS MARGARET HOSPITAL PHASE I CONSORTIUM,MEDI-570 / GLUCOVISION
42142,194035,177767,9036,XBIOTECH USA INC,XILONIX
42154,194077,177810,4848,BRISTOL-MYERS SQUIBB CANADA,OPDIVO
42155,194085,177816,6098,INCYTE CORPORATION,MK-3475 (PEMBROLIZUMAB) / INCB024360 (EPACADOSTAT)
42158,194092,177823,4091,GLAXOSMITHKLINE INC,GSK2982772
42159,194094,177825,2932,NOVARTIS PHARMACEUTICALS CANADA INC,LUCENTIS
42162,194097,177828,8129,ST. JOSEPH'S HEALTHCARE HAMILTON,FECAL MICROBIOTA TRANSPLANT
42172,194145,177872,6321,BIOCRYST PHARMACEUTICALS INC,BCX7353
42174,194151,177878,9631,SHIRE-NPS PHARMACEUTICALS INC.,REVESTIVE
42176,194153,177880,5159,ONTARIO CLINICAL ONCOLOGY GROUP,"18F-FLUORODEOXYGLUCOSE"
42183,194192,177919,4848,BRISTOL-MYERS SQUIBB CANADA,BMS-986362 (CC-90009)
42185,194203,177930,7628,MERCK CANADA INC,KEYTRUDA
42192,194212,177939,6920,SANOFI AVENTIS RECHERCHE & DEVELOPPEMENT,"SAR231893 (DUPILUMAB, REGN668)"
42194,194209,177936,32,BOEHRINGER INGELHEIM (CANADA) LTD LTEE,"OFEV (NINTEDANIB, BIBF 1120 ES)/ SILDENAFIL"
42196,194217,177944,9234,SASKATOON HEALTH REGION (ROYAL UNIVERSITY HOSPITAL),FLUDEOXYGLUCOSE 18F
42202,194248,177975,7628,MERCK CANADA INC,KEYTRUDA
42203,194249,177976,9163,DR JEAN-PIERRE ROUTY,METFORMIN
42205,194266,177995,1139,IMMUNOGEN INC,IMGN853/ BEVACIZUMAB/ CARBOPLATIN/ DOXORUBICIN
42207,194268,177997,793,GENENTECH INC,RO4964913 (OCRELIZUMAB)
42208,194275,178004,9252,PARION SCIENCES INCORPORATED,VX-371
42211,194282,178014,9238,PROTEOSTASIS THERAPEUTICS INC,PTI-428
42214,194301,178034,7263,OTTAWA HOSPITAL RESEARCH INSTITUTE,TRANEXAMIC ACID
42216,194296,178038,9239,PROMETIC PHARMA SMT LTD,PBI-4050
42238,194383,178129,488,ELI LILLY CANADA INC,LY3202626/ FLORBETAPIR F18/ 18F-AV-1451
42240,194385,178132,9096,PHARMACYCLICS LLC,IBRUTINIB (PCI-32765)/ CARFILZOMIB/ DEXAMETHASONE
42241,194387,178133,9242,GENFIT,ELAFIBRANOR
42255,194412,178161,7628,MERCK CANADA INC,KEYTRUDA
42258,194426,178174,7628,MERCK CANADA INC,"JANUVIA (SITAGLIPTIN, MK-0431)"
42278,194473,178226,8678,"EPIZYME, INC.",TAZEMETOSTAT (EPZ-6438)
42282,194478,178232,488,ELI LILLY CANADA INC,LY3314814 (AZD3293)/ FLORBETAPIR 18F/ FLUORODEOXYGLUCOSE 18F/ FLORTAUCIPIR 18F (18F-AV-1451)
42284,194481,178235,9126,"CANADIAN CANCER TRIALS GROUP, CANCER RESEARCH INSTITUTE, QUEEN'S UNIVERSITY",MK-3475 (PEMBROLIZUMAB)
42286,194484,178238,8381,TAKEDA DEVELOPMENT CENTER AMERICAS INC,ENTYVIO (VERODLIZUMAB)/ METHOTREXATE/ HUMIRA (ADALIMUMAB)
42288,194489,178243,7991,JANSSEN RESEARCH AND DEVELOPMENT LLC,JNJ-54861911/ FLORBETAPIR 18F
42294,194516,178271,7991,JANSSEN RESEARCH AND DEVELOPMENT LLC,"AL-335  (JNJ-64146212)/ ODALASVIR (ACH-0143102, ACH-3102, JNJ-64289901)/ SIMEPREVIR (TMC435)"
42310,194567,178339,4543,CHILDRENS ONCOLOGY GROUP,CARVEDILOL
42313,194583,178354,7628,MERCK CANADA INC,MK-3475
42314,194592,178362,2008,ST MICHAELS HOSPITAL,SOMAVERT
42323,194604,178376,7739,"INOVIO PHARMACEUTICALS, INC.","PENNVAX-GP WITH IL-12 ADJUVANT (INO-6112, INO-6145, INO-9012)"
42324,194608,178380,2932,NOVARTIS PHARMACEUTICALS CANADA INC,GWN323 / PDR001/ FLUDEOXYGLUCOSE 18F/ SODIUM FLUORIDE 18F
42326,194610,178382,2932,NOVARTIS PHARMACEUTICALS CANADA INC,TROPIFEXOR (LJN452)
42327,194609,178381,9520,FLAMEL IRELAND LTD TRADING UNDER THE BUSINESS NAME AVADEL IRELAND,SODIUM OXYBATE
42328,194613,178386,8652,BELLEROPHON PULSE TECHNOLOGIES LLC,NITRIC OXIDE
42331,194627,178401,6987,HAMILTON HEALTH SCIENCES CORPORATION,SITAGLIPTIN-METFORMIN
42332,194628,178402,9126,"CANADIAN CANCER TRIALS GROUP, CANCER RESEARCH INSTITUTE, QUEEN'S UNIVERSITY",MEDI4736 (DURVALUMAB) / TREMELIMUMAB
42333,194629,178404,7654,CELGENE INC,ACE-536 (LUSPATERCEPT)
42340,194640,178418,9251,RECRO PHARMA INC,N1539 (MELOXICAM)
42349,194654,178431,7679,SUNNYBROOK RESEARCH INSTITUTE,METFORMIN
42357,194682,178458,9262,"VACCINE EVALUATION CENTER, UNIVERSITY OF BRITISH COLOMBIA",GARDASIL
42363,194709,178485,9091,AXOVANT SCIENCES LTD,RVT-101
42365,194715,178491,9337,CIUSSS DU NORD-DE-L'ILE-DE-MONTRÉAL - HÔPITAL DU SACRÉ-COEUR DE MONTRÉAL.,GRANULOCYTE COLONY-STIMULATING FACTOR-MOBILIZED PERIPHERAL BLOOD MONONUCLEAR CELLS / UMBILICAL CORD BLOOD
42372,194743,178524,158,AMGEN CANADA INC,REPATHA
42374,194748,178530,6716,ARIAD PHARMACEUTICALS INC,BRIGATINIB (AP26113)
42375,194751,178534,8000,TEVA BRANDED PHARMACEUTICAL PRODUCTS R&D INC,TEV-48125
42394,194807,178595,7516,JANSSEN INC,STELARA
42396,194830,178617,4361,UNIVERSITY HEALTH NETWORK,HUMULIN R
42397,194831,178619,7516,JANSSEN INC,ESKETAMINE
42398,194829,178618,9259,ALLIANCE FOR CLINICAL TRIALS IN ONCOLOGY,PACLITAXEL/ IFOSFAMIDE/  CARBOPLATIN/ ETOPOSIDE/ ETOPOSIDE PHOSPHATE
