med_condition_id,med_condition
872,FOCAL SEGMENTAL GLOMERULOSCLEROSIS
714,ORGAN TRANSPLANTATION
323,DEPRESSION
175,NOCTURIA
523,HEART FAILURE WITH PRESERVED EJECTION FRACTION
388,DIABETES
747,CHRONIC MYELOMONOCYTIC LEUKEMIA (CMML-2)
243,STROKE
656,NARCOLEPSY
737,INSOMNIA
826,ENTERAL FEEDING INTOLERANCE
865,PRADER-WILLI SYNDROME
552,PROPHYLAXIS OF INFECTIONS
397,ANKYLOSING SPONDYLITIS
836,LENNOX-GASTAUT SYNDROME
62,CYTOMEGALOVIRUS
763,THYROID DISORDER
320,ADENOCARCINOMA
527,"BREAST CANCER, HORMONE RECEPTOR POSITIVE, HER2 NEGATIVE LOCALLY ADVANCED OR METASTATIC"
116,HOMOZYGOUS FAMILIAL HYPERCHOLESTEROLEMIA
89,GLAUCOMA
333,UTERINE FIBROIDS
1023,CANCER
103,HEPATITIS B VIRUS
108,HEPATITIS C VIRUS GENOTYPE 3
628,CHRONIC CLUSTER HEADACHE
9,ATTENTION DEFICIT HYPERACTIVITY DISORDER (ADHD)
937,COAGULOPATHY
315,FOLLICULAR LYMPHOMA
645,ACTIVE AXIAL SPONDYLOARTHRITIS
353,MYELOFIBROSIS
219,RENAL CELL CARCINOMA METASTATIC
596,KERATOPROSTHESIS
194,PERITONEAL CARCINOMATOSIS
425,SEASONAL ALLERGIC RHINITIS
948,CEREBRAL PALSY
431,HEMATOPOIETIC STEM CELL TRANSPLANT
134,ISCHEMIC ATTACK AND MINOR STROKE
446,PLEXIFORM NEUROFIBROMAS
