protocol_id,submission_no,brand_id,manufacturer_id,manufacturer_name,brand_name
68783,276888,265252,6987,HAMILTON HEALTH SCIENCES CORPORATION,AMIODARONE
69302,278454,266902,4680,CENTRE HOSPITALIER DE L'UNIVERSITÉ DE MONTRÉAL,OSILODROSTAT (LCI669)
67026,271230,259173,981,NOVO NORDISK CANADA INC,NNC0194-0499 B / SEMAGLUTIDE B / NNC0194-0499 SEMAGLUTIDE A
67392,272731,260751,9429,"KOWA RESEARCH INSTITUTE, INC",RIPASUDIL
66025,268568,256435,4091,GLAXOSMITHKLINE INC,BEPIROVIRSEN (GSK3228836)
65049,265683,253414,4366,CENTRE FOR ADDICTION AND MENTAL HEALTH,[18F]SDM-8 INJ / [18F]FEPPA INJ
65147,265967,253711,7991,JANSSEN RESEARCH AND DEVELOPMENT LLC,TREMFYA (GUSELKUMAB) / SIMPONI (GOLIMUMAB)
64716,264719,252402,11427,GOVERNORS OF THE UNIVERSITY OF CALGARY,VANCOMYCIN
64717,264720,252406,7125,ALBERTA HEALTH SERVICES,AFATINIB/ DASATINIB/ EVEROLIMUS/ OLAPARIB/ PALBOCICLIB
66354,269503,257390,4543,CHILDRENS ONCOLOGY GROUP,MELPHALAN /ETOPOSIDE PHOSPHATE
66527,268152,255998,981,NOVO NORDISK CANADA INC,ZILTIVEKIMAB
65844,268031,255874,8381,TAKEDA DEVELOPMENT CENTER AMERICAS INC,TAK-573 (MODAKAFUSP ALFA) / DARATUMUMAB
65845,268042,255885,7628,MERCK CANADA INC,KEYTRUDA (PEMBROLIZUMAB) / SACITUZUMAB GOVITECAN
65398,266747,254525,10107,CLINIQUE OVO,PROGESTERONE / ACETYLSALICYLIC ACID
65971,268403,256258,6559,OTSUKA PHARMACEUTICAL DEVELOPMENT & COMMERCIALIZATION INC,CENTANAFADINE (EB-1020)
64618,264452,252115,6559,OTSUKA PHARMACEUTICAL DEVELOPMENT & COMMERCIALIZATION INC,SIBEPRENLIMAB (VIS649)
65010,265526,253254,981,NOVO NORDISK CANADA INC,NNC0365-3769 (MIM8)
65588,267213,255019,4091,GLAXOSMITHKLINE INC,RSVPREF3
65434,266830,254609,7360,QU BIOLOGICS INC,QBECO SSI (INACTIVATED E.COLI PREPARATION IN SALINE)
65651,267343,255155,7653,VERTEX PHARMACEUTICALS (CANADA) INCORPORATED,VANZACAFTOR-TEZACAFTOR-DEUTIVACAFTOR
65999,268492,256350,3601,ASTRAZENECA CANADA INC,IMFINZI / DATOPOTAMAB DERUXTECAN (DATO-DXD; DS-1062A)
66068,268661,256529,4848,BRISTOL-MYERS SQUIBB CANADA,"MEZIGDOMIDE (BMS-986348, CC-92480) / CARFILZOMIB / DEXAMETHASONE"
65973,268427,256286,7516,JANSSEN INC,JNJ-64007957 (TECLISTAMAB)
64261,263441,251048,5978,GRUNENTHAL GMBH,RESINIFERATOXIN (RTX-GRT7039)
65547,264697,252379,10155,PFIZER CANADA ULC,PONSEGROMAB (PF-06946860)
65272,265160,252868,9770,FUSION PHARMACEUTICALS INC.,[225AC]-FPI-2059 / [111IN]-FPI-2058
64834,265055,252749,11074,PHARVARIS NETHERLANDS B.V.,DEUCRICTIBANT (PHA-022121)
65387,266711,254486,7516,JANSSEN INC,JNJ-64007957 (TECLISTAMAB) / DARATUMUMAB SC / LENALIDOMIDE
65394,266737,254515,11938,INVENTPRISE INC.,PNEUMOCOCCAL 25-VALENT CONJUGATE VACCINE (IVT PCV-25)
65706,267612,255436,11961,ROOTS TO THRIVE,PSILOCYBIN
65714,267629,255453,12253,"SUMITOMO PHARMA AMERICA, INC",VIBEGRON (URO-901)
66033,268584,256450,6206,DAIICHI SANKYO INC,PATRITUMAB DERUXTECAN (U3-1402; HER3-DXD)
64062,262848,250415,6321,BIOCRYST PHARMACEUTICALS INC,BEROTRALSTAT (BCX7353)
65401,266757,254535,7201,PHARMAESSENTIA CORPORATION,ROPEGINTERFERON ALFA-2B-NJFT (P1101)
64326,263640,251256,7467,IPSEN PHARMA,ODEVIXIBAT (A4250)
64328,263644,251260,9326,MOBERG PHARMA AB,TERBINAFINE (MOB015B)
66190,268942,256815,488,ELI LILLY CANADA INC,"LY3372993  / FLORTAUCIPIR (18F-AV-1451, LY3191748) / FLORBETAPIR (18F-AV-45, LY3078786)"
64586,264368,252028,7628,MERCK CANADA INC,MK-2140 / RITUXIMAB
65710,267619,255444,8381,TAKEDA DEVELOPMENT CENTER AMERICAS INC,MODAKAFUSP ALFA (TAK-573) / LENALIDOMIDE / POMALIDOMIDE / BORTEZOMIB / DARATUMUMAB
65887,268127,255973,8144,ABBVIE CORPORATION,ABBV-319
64119,263021,250595,8074,RESEARCH INSTITUTE OF THE MCGILL UNIVERSITY HEALTH CENTRE,DALBAVANCIN
64321,263147,250724,11817,"HUYABIO INTERNATIONAL, LLC",SULCARDINE (HBI-3000)
64402,263859,251493,11849,"CABALETTA BIO, INC.",MUSK-CAART
64525,264189,251830,9337,CIUSSS DU NORD-DE-L'ILE-DE-MONTRÉAL - HÔPITAL DU SACRÉ-COEUR DE MONTRÉAL.,ONDANSETRON
65209,266139,253888,3545,LONDON HEALTH SCIENCES CENTRE,ICODEXTRIN-DEXTROSE
65321,266446,254202,12253,"SUMITOMO PHARMA AMERICA, INC",ARAMISULPRIDE-ESAMISULPRIDE (SEP-4199)
65439,266847,254626,7516,JANSSEN INC,RYBREVANT / TABRECTA
65987,268462,256319,11983,QURALIS CORPORATION,QRL-201
65878,268104,255949,10979,"ARCUS BIOSCIENCES, INC.",ZIMBERELIMAB (AB122) / DOMVANALIMAB (AB154) / OXALIPLATIN / LEUCOVORIN / FLUOROURACIL / CAPECITABINE
64168,263166,250743,7679,SUNNYBROOK RESEARCH INSTITUTE,OXANDROLONE
65789,267089,254889,8144,ABBVIE CORPORATION,UPADACITINIB (ABT-494)
65785,267104,254905,6098,INCYTE CORPORATION,RETIFANLIMAB (INCMGA00012) / INCAGN02385 / INCAGN02390
66287,269293,257176,11725,"VERA THERAPEUTICS, INC",ATACICEPT (VT-001) / MYCOPHENOLATE MOFETIL
65571,267175,254980,11776,"KITE, A GILEAD COMPANY",YESCARTA
64414,263878,251512,3601,ASTRAZENECA CANADA INC,OSIMERTINIB/ SELUMETINIB
65642,267272,255079,1288,VERTEX PHARMACEUTICALS INC,INAXAPLIN (VX-147)
65837,267992,255834,7628,MERCK CANADA INC,MK-1942
66332,269452,257339,8381,TAKEDA DEVELOPMENT CENTER AMERICAS INC,"RECOMBINANT VON WILLEBRAND FACTOR (RVWF) (VONICOG ALFA, BAX111, SHP677, TAK-577) / ANTIHEMOPHILIC FACTOR (RECOMBINANT) / PLASMA/ALBUMIN FREE METHOD"
66345,269480,257367,3601,ASTRAZENECA CANADA INC,BUDESONIDE-FORMOTEROL/ BUDESONIDE
66781,270873,258805,7125,ALBERTA HEALTH SERVICES,[18F]PSMA-1007 INJECTION
67816,274045,262191,9126,"CANADIAN CANCER TRIALS GROUP, CANCER RESEARCH INSTITUTE, QUEEN'S UNIVERSITY",IRINOTECAN
69473,278952,267426,4848,BRISTOL-MYERS SQUIBB CANADA,DEUCRAVACITINIB (BMS-986165)
69225,278270,266714,7516,JANSSEN INC,NIPOCALIMAB
69618,279403,267906,6987,HAMILTON HEALTH SCIENCES CORPORATION,TIDEGLUSIB
68550,274684,262872,8144,ABBVIE CORPORATION,UPADACITINIB (ABT-494)
68263,275332,263592,13012,NRG ONCOLOGY AT THE AMERICAN COLLEGE OF RADIOLOGY,CISPLATIN / CARBOPLATIN / NAB-PACLITAXEL
67021,271573,259526,9163,DR JEAN-PIERRE ROUTY,FECAL TRANSPLANTATION/FECAL MICROBIOTA THERAPY
68976,277520,265912,7516,JANSSEN INC,IBRUTINIB (JNJ-54179060) / VENETOCLAX
